topic,CON,LAB,LAB;I,OTHER,SNP,keywords
0,26.1,14.5,33.3,15.3,20.9,"['lockdown', 'testing', 'isolate', 'variants', 'transmission', 'vaccinations', 'tier', '19', 'measures', 'tracing']"
1,11.0,11.4,33.3,12.9,26.2,"['furlough', 'jobs', 'coronavirus', 'retention', 'sectors', 'schemes', 'grants', 'bounce', 'sick', 'rates']"
2,8.5,9.3,0.0,7.2,10.2,"['maiden', 'speeches', '57', 'reading', 'standing', 'sir', 'chope', 'friday', 'mp', 'east']"
3,9.8,9.9,33.3,7.7,7.0,"['privatisation', 'billion', 'nhs', 'trusts', 'deficits', 'registry', 'extra', 'plan', 'stevens', 'pf2']"
4,9.6,9.7,0.0,7.9,2.0,"['pupil', 'colleges', 'catch', 'exams', 'disadvantaged', 'attainment', 'young', 'qualifications', 'headteachers', 'special']"
5,7.8,12.1,0.0,7.1,11.3,"['domestic', 'officers', 'knife', 'victim', 'exploitation', 'assaults', 'survivors', 'sentencing', 'women', 'young']"
6,7.3,12.2,0.0,8.1,10.0,"['chancellor', 'fiscal', 'obr', 'hmrc', 'forecast', 'billion', 'avoidance', 'borrowing', '2010', 'businesses']"
7,4.7,6.2,0.0,19.2,3.5,"['abortion', 'ireland', '1967', 'walthamstow', 'human', 'devolution', 'termination', 'stormont', 'cedaw', 'decriminalisation']"
8,8.5,10.1,0.0,7.9,6.5,"['councils', 'integration', 'precept', 'elderly', 'pressures', 'caring', 'transfers', 'local', 'billion', 'cuts']"
9,6.6,4.7,0.0,6.6,2.4,"['brain', 'pancreatic', 'tessa', 'jowell', 'cervical', 'kadcyla', 'outcomes', 'diagnostic', 'sabr', 'chemotherapy']"
