topic,Fidesz-KDNP,OTHER,Opposition,keywords
0,14.2,14.9,11.5,"['egynapos', 'sebészeti', 'ajkai', 'rehabilitációs', 'osztály', 'kórháznak', 'fejlesztés', 'marcaliban', 'ct', 'sürgősségi']"
1,12.1,28.8,31.2,"['gmo', 'tudom', 'önálló', 'kormánypárti', 'kunhalmi', 'beszélni', 'asszony', 'háziorvoslás', 'hadd', 'szeretném']"
2,9.3,9.0,6.2,"['benyovszky', 'tbc', 'kommunista', 'kínai', 'manfréd', 'dr', 'bács', 'lakásokat', 'közbeszól', 'deutsch']"
3,20.5,3.2,3.1,"['koronavírus', 'járványügyi', '2021', 'sikeresen', 'törzs', 'védekezést', 'magyarország', 'munkahelyeket', 'lélegeztetőgép', 'baloldalra']"
4,9.9,5.1,9.7,"['klik', 'fizetős', 'hálapénz', 'képviselő', 'háziorvosi', 'jobbik', 'betegjogok', 'agyhártyagyulladás', '2010', 'kerekasztal']"
5,4.7,9.8,13.2,"['önsegélyező', 'betöltetlen', 'egészségügyben', 'szakmai', 'beszélni', 'pénztárak', 'önkéntes', '2016', 'problémák', 'finanszírozás']"
6,9.6,14.2,15.6,"['számvevőszék', 'jövő', 'költségvetésben', '2019', 'polgárosodás', 'milliárd', 'gazdaság', 'családi', 'oktatás', 'támogatására']"
7,11.0,2.0,3.8,"['orosz', 'kínai', 'baloldal', 'influenza', 'adag', 'védőoltást', 'beszerzésből', 'dk', 'oláh', 'egészségpolitikusuk']"
8,3.0,8.3,4.2,"['egyszülős', 'civil', 'csaba', 'kisebbségi', 'jogszabály', 'gondolom', 'szexuális', 'elektromos', 'javaslat', 'műszakba']"
9,5.8,4.7,1.4,"['bank', 'múzeum', 'háború', 'városliget', 'köszöni', 'sikert', 'magyarország', 'miniszter', 'zsolt', 'európai']"
