topic,Fidesz-frakció,JOBBIK-frakció,OTHER,keywords
0,9.6,19.2,19.9,"['választási', 'európai', 'miniszterelnök', 'dr', 'elnök', 'magyar', 'kérdés', 'nemzeti', 'tudom', 'asszony']"
1,25.4,8.6,13.7,"['magyarország', 'háború', 'orosz', 'európai', 'gazdasági', 'rendkívüli', 'elnök', 'biztonságát', 'jogrend', 'humanitárius']"
2,6.7,8.6,16.2,"['bence', 'miniszterelnök', 'dr', 'viktor', 'civil', 'európai', 'gazdasági', 'fideszes', 'magyarország', 'soraiban']"
3,12.4,9.3,8.7,"['lengyelország', 'ház', '1956', 'nép', 'barátság', 'zrínyi', 'szabadságharc', 'elnök', 'keresztény', 'rákóczi']"
4,14.4,8.6,6.2,"['magyar', 'migrációs', 'tisztelt', 'javaslat', 'világháború', 'offshore', 'uniós', 'kvótarendszer', 'baloldali', 'kormány']"
5,11.5,8.6,7.0,"['menekültek', 'tisztelt', 'magyarországra', 'európai', 'unió', 'illegálisan', 'gazdasági', 'országgyűlés', 'probléma', 'koszovói']"
6,8.1,8.6,9.0,"['nemzetiségi', 'béke', 'iszlám', 'magyarország', 'libanoni', 'katonák', 'kárpátaljai', 'gondolom', 'bizottsági', 'konfliktus']"
7,3.8,12.6,3.1,"['tisza', 'margit', 'javaslat', 'rendszer', 'kormány', 'magyar', 'egészségügyi', 'jobbik', 'fog', 'ménesbirtok']"
8,3.8,6.6,8.4,"['fontos', 'miniszter', 'hadviselés', 'politikai', 'gondolom', 'alkotmányos', 'tisztelt', 'ország', 'jogi', 'javaslat']"
9,4.3,9.3,7.8,"['milliárd', 'jövő', 'költségvetésben', 'jegybank', 'szociális', 'növekedés', '2007', 'válság', 'kormányzat', 'magyar']"
