topic,keywords,tc.SDS,tc.SD,tc.OTHER,pf.SDS,pf.SD,pf.OTHER,s.SDS,s.SD,s.OTHER
0,"['evropske', 'potem', 'vlade', 'republike', 'unije', 'hvala', 'slovenijo', 'strani', 'ljudi', 'predsednik']",29.0,9.5,61.6,36.6,26.3,34.2,-0.52,-0.37,-0.38
1,"['danes', 'lahko', 'tukaj', 'vlade', 'rekel', 'ministra', 'ljudi', 'način', 'predsednik', 'hvala']",31.6,12.8,55.6,18.8,16.8,14.5,-0.64,-0.6,-0.59
2,"['zakon', 'gre', 'hvala', 'sedaj', 'stvari', 'vlada', 'državni', 'mogoče', 'imeli', 'pravi']",24.8,12.6,62.5,10.6,11.9,11.8,-0.5,-0.5,-0.46
3,"['vojska', 'obrambo', 'republike', 'slovenije', 'hvala', 'zakona', 'države', 'sistema', 'varnost', 'resolucije']",28.2,15.4,56.4,11.3,13.5,9.9,-0.25,-0.12,-0.23
4,"['milijonov', 'evrov', 'proračunu', 'rast', 'javnih', 'investicije', 'bdp', 'plače', 'rebalans', 'lahko']",19.3,11.1,69.6,6.3,7.9,9.9,-0.41,-0.35,-0.37
5,"['žrtev', 'grobišča', 'kulturne', 'invalidih', 'odškodnine', 'zakonu', 'hvala', 'povojnega', 'predloga', 'slovenije']",20.2,13.4,66.5,4.8,7.0,6.9,-0.33,-0.2,-0.36
6,"['pokojninske', 'starejših', 'vdovske', 'evrov', 'zavarovanje', 'vojaških', 'zpiz', 'zakonu', 'prispevkov', 'invalidskega']",16.0,16.4,67.6,2.2,5.0,4.2,-0.3,-0.32,-0.32
7,"['komisije', 'obveščevalnih', 'gospod', 'poročila', 'parlamentarne', 'službe', 'policije', 'preiskava', 'naprej', 'takrat']",39.6,13.6,46.8,6.0,4.5,3.1,-0.52,-0.47,-0.63
8,"['policijo', 'notranje', 'organiziranosti', 'direktorja', 'delo', 'lahko', 'meji', 'nalog', 'zakon', 'predlog']",16.1,14.1,69.8,1.6,3.0,3.0,-0.36,-0.24,-0.34
9,"['veteranov', 'zakona', 'vojne', 'status', 'slovenijo', '45', 'zavarovanja', 'zdravstvenega', 'hvala', 'dopolnilnega']",19.7,18.7,61.6,1.9,4.0,2.6,-0.23,-0.19,-0.37
